"element","fixture","opponent_team","total_points","was_home","kickoff_time","team_h_score","team_a_score","round","modified","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","clearances_blocks_interceptions","recoveries","tackles","defensive_contribution","starts","expected_goals","expected_assists","expected_goal_involvements","expected_goals_conceded","value","transfers_balance","selected","transfers_in","transfers_out"
171,3,10,0,TRUE,"2025-08-16T14:00:00Z",1,1,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",50,0,3342,0,0
172,3,10,0,TRUE,"2025-08-16T14:00:00Z",1,1,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",50,0,2213,0,0
173,3,10,4,TRUE,"2025-08-16T14:00:00Z",1,1,1,FALSE,90,0,0,0,1,0,0,0,0,0,0,0,18,"24.8","2.8","21.0","4.9",8,6,5,19,1,"0.02","0.02","0.04","0.69",50,0,4812,0,0
174,3,10,0,TRUE,"2025-08-16T14:00:00Z",1,1,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",50,0,1890,0,0
175,3,10,0,TRUE,"2025-08-16T14:00:00Z",1,1,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,8021,0,0
176,3,10,0,TRUE,"2025-08-16T14:00:00Z",1,1,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,3738,0,0
177,3,10,0,TRUE,"2025-08-16T14:00:00Z",1,1,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,5349,0,0
178,3,10,1,TRUE,"2025-08-16T14:00:00Z",1,1,1,FALSE,21,0,0,0,1,0,0,0,0,0,0,0,3,"2.2","0.6","2.0","0.5",0,0,1,1,0,"0.00","0.00","0.00","0.21",65,0,448372,0,0
179,3,10,0,TRUE,"2025-08-16T14:00:00Z",1,1,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",55,0,2506,0,0
180,3,10,0,TRUE,"2025-08-16T14:00:00Z",1,1,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",55,0,13252,0,0
181,3,10,0,TRUE,"2025-08-16T14:00:00Z",1,1,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",50,0,41999,0,0
220,8,8,7,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,90,0,0,1,0,0,0,0,0,0,4,0,29,"28.0","0.0","0.0","2.8",1,7,0,0,1,"0.00","0.00","0.00","1.07",50,0,2427422,0,0
221,8,8,0,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,19526,0,0
222,8,8,0,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,0,694,0,0
223,8,8,0,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,0,9288,0,0
224,8,8,9,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,90,0,0,1,0,0,0,0,0,0,0,3,33,"10.6","14.8","13.0","3.8",1,4,2,3,1,"0.12","0.10","0.22","1.07",60,0,1776709,0,0
225,8,8,5,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,78,0,0,1,0,0,0,0,1,0,0,0,29,"17.0","46.5","0.0","6.4",6,6,1,7,1,"0.00","0.19","0.19","1.02",55,0,485657,0,0
226,8,8,6,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,90,0,0,1,0,0,0,0,0,0,0,0,28,"21.6","5.0","4.0","3.1",9,4,0,9,1,"0.09","0.03","0.12","1.07",50,0,94789,0,0
227,8,8,0,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",50,0,41189,0,0
228,8,8,1,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,11,0,0,0,0,0,0,0,0,0,0,0,2,"0.0","1.2","1.0","0.2",0,0,0,0,0,"0.02","0.00","0.02","0.05",50,0,160818,0,0
229,8,8,0,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,2103,0,0
230,8,8,0,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,20068,0,0
231,8,8,0,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,2776,0,0
232,8,8,0,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,128981,0,0
233,8,8,9,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,90,0,0,1,0,0,0,0,0,0,0,3,33,"13.6","2.2","10.0","2.6",6,4,2,8,1,"0.17","0.01","0.18","1.07",40,0,22750,0,0
234,8,8,0,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,0,10457,0,0
235,8,8,3,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,90,0,0,1,0,0,0,0,0,0,0,0,9,"3.8","16.8","23.0","4.4",0,3,1,4,1,"0.21","0.03","0.24","1.07",105,0,6063687,0,0
236,8,8,3,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,90,0,0,1,0,0,0,0,0,0,0,0,10,"11.6","37.2","10.0","5.9",1,3,1,5,1,"0.02","0.36","0.38","1.07",70,0,361022,0,0
237,8,8,3,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,78,0,0,1,0,0,0,0,0,0,0,0,11,"3.6","16.3","2.0","2.2",0,0,0,0,1,"0.00","0.10","0.10","1.02",65,0,338998,0,0
238,8,8,0,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,36,0,0,0,0,0,0,0,1,0,0,0,-3,"1.2","4.9","8.0","1.4",1,2,0,3,0,"0.34","0.37","0.71","0.07",65,0,159108,0,0
239,8,8,1,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,53,0,0,0,0,0,0,0,0,0,0,0,4,"7.0","22.8","10.0","4.0",1,1,1,3,1,"0.06","0.06","0.12","1.00",65,0,28302,0,0
240,8,8,0,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",60,0,22100,0,0
241,8,8,5,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,90,0,0,1,0,0,0,0,0,0,0,0,18,"31.0","3.9","2.0","3.7",6,1,5,12,1,"0.05","0.04","0.09","1.07",55,0,507894,0,0
243,8,8,0,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",50,0,4627,0,0
244,8,8,0,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",50,0,2949,0,0
245,8,8,0,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",50,0,643,0,0
246,8,8,1,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,11,0,0,0,0,0,0,0,0,0,0,0,1,"0.4","0.2","21.0","2.2",0,0,0,0,0,"0.37","0.00","0.37","0.05",45,0,28493,0,0
247,8,8,0,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,4534,0,0
248,8,8,0,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,1494,0,0
249,8,8,2,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,72,0,0,1,0,0,0,0,0,0,0,0,3,"0.0","4.1","16.0","1.8",0,1,0,1,1,"0.30","0.02","0.32","1.02",75,0,5411891,0,0
250,8,8,1,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,17,0,0,0,0,0,0,0,0,0,0,0,4,"5.4","1.3","19.0","2.6",1,1,0,2,0,"0.05","0.01","0.06","0.05",65,0,394977,0,0
251,8,8,0,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",65,0,5818,0,0
672,8,8,0,TRUE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",50,0,29623,0,0
253,8,7,6,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,90,0,0,1,0,0,0,0,0,0,2,0,27,"22.2","10.0","0.0","3.2",2,5,0,0,1,"0.00","0.00","0.00","1.81",50,0,649134,0,0
254,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,0,38826,0,0
255,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,0,9454,0,0
256,8,7,5,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,90,0,0,1,0,0,0,0,1,0,0,0,17,"10.0","0.4","6.0","1.6",6,2,2,8,1,"0.08","0.00","0.08","1.81",55,0,813663,0,0
257,8,7,8,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,90,0,0,1,0,0,0,0,0,0,0,0,21,"28.0","0.1","4.0","3.2",12,2,3,15,1,"0.40","0.00","0.40","1.81",50,0,96266,0,0
258,8,7,9,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,90,0,0,1,0,0,0,0,0,0,0,1,32,"29.0","0.4","0.0","2.9",8,5,5,13,1,"0.00","0.00","0.00","1.81",50,0,116282,0,0
259,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",50,0,12789,0,0
260,8,7,6,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,90,0,0,1,0,0,0,0,0,0,0,0,22,"13.6","10.0","2.0","2.6",5,1,1,6,1,"0.00","0.00","0.00","1.81",45,0,1199617,0,0
261,8,7,6,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,90,0,0,1,0,0,0,0,0,0,0,0,24,"21.8","0.1","4.0","2.6",6,0,2,8,1,"0.06","0.01","0.07","1.81",45,0,141293,0,0
262,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,0,848,0,0
263,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,0,66062,0,0
264,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,0,5924,0,0
265,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,0,2907,0,0
266,8,7,3,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,83,0,0,1,0,0,0,0,0,0,0,0,15,"9.2","16.6","26.0","5.2",1,5,1,7,1,"0.24","0.09","0.33","1.37",75,0,992634,0,0
267,8,7,3,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,90,0,0,1,0,0,0,0,0,0,0,0,16,"10.0","12.5","0.0","2.3",4,3,0,7,1,"0.00","0.01","0.01","1.81",65,0,502135,0,0
268,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",50,0,412,0,0
269,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",50,0,21037,0,0
270,8,7,2,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,69,0,0,1,0,0,0,0,1,0,0,0,7,"14.4","0.1","0.0","1.5",6,3,0,9,1,"0.00","0.00","0.00","1.37",50,0,11049,0,0
271,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",50,0,2116,0,0
272,8,7,1,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,20,0,0,0,0,0,0,0,0,0,0,0,3,"1.0","0.0","2.0","0.3",1,1,0,2,0,"0.00","0.00","0.00","0.44",50,0,6436,0,0
273,8,7,3,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,90,0,0,1,0,0,0,0,0,0,0,0,14,"14.6","22.3","0.0","3.7",2,3,0,5,1,"0.00","0.07","0.07","1.81",50,0,56704,0,0
274,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,5499,0,0
275,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,3889,0,0
276,8,7,1,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,6,0,0,0,0,0,0,0,0,0,0,0,5,"3.0","0.0","2.0","0.5",1,0,1,2,0,"0.00","0.00","0.00","0.44",45,0,190346,0,0
277,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,1092,0,0
278,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,6524,0,0
279,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,2243,0,0
280,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,334,0,0
281,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,3947,0,0
282,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,2757,0,0
283,8,7,1,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,90,0,0,1,0,0,0,0,1,0,0,0,7,"15.6","0.6","26.0","4.2",5,3,1,9,1,"0.29","0.00","0.29","1.81",75,0,886293,0,0
284,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",55,0,39779,0,0
285,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",50,0,91613,0,0
286,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,24573,0,0
690,8,7,0,FALSE,"2025-08-17T13:00:00Z",0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,0,0,0
242,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",50,0,476441,0,0
287,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",55,0,1105014,0,0
288,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,14759,0,0
289,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,0,11717,0,0
290,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",55,0,81434,0,0
291,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",55,0,704639,0,0
292,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",50,0,94110,0,0
293,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",50,0,56013,0,0
294,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,15163,0,0
295,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,34296,0,0
296,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,3246,0,0
297,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,0,20055,0,0
298,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,0,14233,0,0
299,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",65,0,1180499,0,0
300,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",60,0,42538,0,0
301,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",55,0,16836,0,0
302,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",55,0,10149,0,0
303,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",50,0,9282,0,0
304,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",50,0,2690,0,0
305,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,13170,0,0
306,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,8013,0,0
307,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,3836,0,0
308,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,3885,0,0
309,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,197,0,0
310,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",60,0,70912,0,0
311,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",55,0,858097,0,0
312,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",50,0,14087,0,0
313,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,20821,0,0
419,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",65,0,348900,0,0
667,10,11,0,FALSE,"2025-08-18T19:00:00Z",,,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,11921,0,0
314,3,6,3,FALSE,"2025-08-16T14:00:00Z",1,1,1,FALSE,90,0,0,0,1,0,0,0,0,0,3,0,15,"23.6","0.0","0.0","2.4",1,11,0,0,1,"0.00","0.00","0.00","1.54",50,0,155496,0,0
315,3,6,0,FALSE,"2025-08-16T14:00:00Z",1,1,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,0,970,0,0
316,3,6,0,FALSE,"2025-08-16T14:00:00Z",1,1,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",50,0,98549,0,0
317,3,6,2,FALSE,"2025-08-16T14:00:00Z",1,1,1,FALSE,90,0,0,0,1,0,0,0,0,0,0,0,13,"16.4","1.0","4.0","2.1",5,1,3,8,1,"0.00","0.01","0.01","1.54",45,0,299085,0,0
318,3,6,1,FALSE,"2025-08-16T14:00:00Z",1,1,1,FALSE,90,0,0,0,1,0,0,0,1,0,0,0,1,"12.4","1.6","0.0","1.4",1,4,2,3,1,"0.00","0.01","0.01","1.54",45,0,44473,0,0
319,3,6,1,FALSE,"2025-08-16T14:00:00Z",1,1,1,FALSE,6,0,0,0,0,0,0,0,0,0,0,0,4,"0.2","0.7","2.0","0.3",0,0,0,0,0,"0.00","0.12","0.12","0.47",45,0,13860,0,0
